NAMESPACE                     LAST SEEN   TYPE      REASON                         OBJECT                                                      MESSAGE
default                       2m46s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-kzdf             
default                       2m45s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-hvpx             
default                       2m48s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-r3pj             
default                       2m46s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-sbb6             
default                       2m45s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-tst6             
default                       2m49s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-t20r             
default                       4m32s       Warning   InvalidDiskCapacity            node/gke-dencer-play-default-pool-846d4868-t20r             invalid capacity 0 on image filesystem
default                       4m32s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-t20r             Starting kubelet.
default                       4m31s       Normal    NodeAllocatableEnforced        node/gke-dencer-play-default-pool-846d4868-t20r             Updated Node Allocatable limit across pods
kube-system                   4m31s       Normal    Started                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-t20r   Container started
kube-system                   4m31s       Normal    Created                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-t20r   Container created
kube-system                   4m31s       Normal    Pulled                         pod/kube-proxy-gke-dencer-play-default-pool-846d4868-t20r   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
default                       4m30s       Warning   InvalidDiskCapacity            node/gke-dencer-play-default-pool-846d4868-r3pj             invalid capacity 0 on image filesystem
default                       4m30s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-r3pj             Starting kubelet.
default                       4m29s       Warning   NodeRegistrationCheckerStart   node/gke-dencer-play-default-pool-846d4868-t20r             Sat Aug 15 16:04:40 UTC 2026 - ** Starting Node Registration Checker **
default                       4m29s       Normal    NodeAllocatableEnforced        node/gke-dencer-play-default-pool-846d4868-r3pj             Updated Node Allocatable limit across pods
kube-system                   4m28s       Normal    Pulled                         pod/kube-proxy-gke-dencer-play-default-pool-846d4868-r3pj   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
kube-system                   4m28s       Normal    Created                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-r3pj   Container created
default                       4m28s       Warning   ContainerdStart                node/gke-dencer-play-default-pool-846d4868-t20r             Starting containerd.service...
default                       4m28s       Warning   DockerStart                    node/gke-dencer-play-default-pool-846d4868-t20r             Starting docker.service...
default                       4m28s       Warning   KubeletStart                   node/gke-dencer-play-default-pool-846d4868-t20r             Started kubelet.service.
default                       4m28s       Warning   NodeSysctlChange               node/gke-dencer-play-default-pool-846d4868-t20r             Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
kube-system                   4m28s       Normal    Started                        pod/kube-proxy-gke-dencer-play-default-pool-846d4868-r3pj   Container started
default                       4m27s       Warning   ReadOnlyFileSystemDetected     node/gke-dencer-play-default-pool-846d4868-t20r             
default                       4m27s       Normal    NodeAllocatableEnforced        node/gke-dencer-play-default-pool-846d4868-hvpx             Updated Node Allocatable limit across pods
default                       4m27s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-hvpx             Starting kubelet.
default                       4m27s       Warning   InvalidDiskCapacity            node/gke-dencer-play-default-pool-846d4868-hvpx             invalid capacity 0 on image filesystem
kube-system                   4m26s       Normal    Pulled                         pod/kube-proxy-gke-dencer-play-default-pool-846d4868-hvpx   Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/kube-proxy:v1.35.6-gke.1258000" already present on machine and can be accessed by the pod
default                       4m26s       Normal    NodeHasSufficientMemory        node/gke-dencer-play-default-pool-846d4868-r3pj             Node gke-dencer-play-default-pool-846d4868-r3pj status is now: NodeHasSufficientMemory
default                       4m26s       Normal    NodeHasSufficientPID           node/gke-dencer-play-default-pool-846d4868-r3pj             Node gke-dencer-play-default-pool-846d4868-r3pj status is now: NodeHasSufficientPID
default                       4m26s       Normal    Starting                       node/gke-dencer-play-default-pool-846d4868-kzdf             Starting kubelet.
