node                                              system cpu  workload cpu   system mem
gke-dencer-play-default-pool-846d4868-hvpx              396m            0m        698Mi
gke-dencer-play-default-pool-846d4868-kzdf              301m          530m        588Mi
gke-dencer-play-default-pool-846d4868-r3pj              561m          280m        723Mi
gke-dencer-play-default-pool-846d4868-sbb6              291m            0m        568Mi
gke-dencer-play-default-pool-846d4868-t20r              595m          250m        857Mi
gke-dencer-play-default-pool-846d4868-tst6              335m          370m        631Mi

system CPU requests per node: min 291m  max 595m  mean 413m  across 6 nodes

system pods requesting CPU (by controller):
    270m  kube-system/kube-dns-7ddbc8bb55
    105m  gke-managed-cim/kube-state-metrics
    105m  kube-system/fluentbit-gke
    100m  kube-system/kube-proxy-gke-dencer-play-default-pool-846d4868
     44m  kube-system/metrics-server-v1.35.1-6869f77d64
     30m  kube-system/node-local-dns
     21m  kube-system/gke-metrics-agent
     20m  kube-system/kube-dns-autoscaler-7dc78dc96
     15m  kube-system/konnectivity-agent-7f74769845
     15m  kube-system/pdcsi-node
     10m  kube-system/konnectivity-agent-autoscaler-69d8bfcd9b
     10m  kube-system/l7-default-backend-7d8d77ff56
      5m  gmp-system/collector
      3m  kube-system/event-exporter-gke-7c667c5978
      1m  gmp-system/gmp-operator-6f7b667cbb
