NAMESPACE         NAME                                                    READY   STATUS    RESTARTS       AGE     IP              NODE                                         NOMINATED NODE   READINESS GATES
dencer-demo       play-cache-6b5554675-2gwcc                              1/1     Running   0              109s    10.76.5.7       gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
dencer-demo       play-cache-6b5554675-d6r2z                              1/1     Running   0              109s    10.76.1.10      gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
dencer-demo       play-cache-6b5554675-ldt2l                              1/1     Running   0              109s    10.76.0.5       gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
dencer-demo       play-filler-7d4fc49cf-2wd2m                             1/1     Running   0              108s    10.76.3.12      gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
dencer-demo       play-filler-7d4fc49cf-6bcpx                             1/1     Running   0              108s    10.76.1.11      gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
dencer-demo       play-filler-7d4fc49cf-fwg2d                             1/1     Running   0              108s    10.76.0.6       gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
dencer-demo       play-web-5cddbdcfb5-52p9l                               1/1     Running   0              110s    10.76.0.4       gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
dencer-demo       play-web-5cddbdcfb5-7lcrb                               1/1     Running   0              110s    10.76.3.11      gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
dencer-demo       play-web-5cddbdcfb5-lr4mn                               1/1     Running   0              110s    10.76.5.6       gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
dencer-demo       play-web-5cddbdcfb5-mt6xz                               1/1     Running   0              110s    10.76.1.9       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
gke-managed-cim   kube-state-metrics-0                                    2/2     Running   0              3m54s   10.76.4.3       gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
gmp-system        collector-6x82c                                         2/2     Running   0              2m51s   10.76.5.3       gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
gmp-system        collector-8b7jt                                         2/2     Running   0              2m49s   10.76.2.2       gke-dencer-play-default-pool-846d4868-sbb6   <none>           <none>
gmp-system        collector-gz6q2                                         2/2     Running   0              2m47s   10.76.0.3       gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
gmp-system        collector-hxrzl                                         2/2     Running   0              2m50s   10.76.3.10      gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
gmp-system        collector-vvkm4                                         2/2     Running   0              2m47s   10.76.4.4       gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
gmp-system        collector-zzbjt                                         2/2     Running   0              2m48s   10.76.1.4       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
gmp-system        gmp-operator-6f7b667cbb-5vrpx                           1/1     Running   0              3m6s    10.76.3.2       gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
k8s-dencer        k8s-dencer-executor-746b89f5f5-lh5bt                    1/1     Running   0              2m14s   10.76.1.8       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
k8s-dencer        k8s-dencer-planner-55f445b474-mpqhh                     1/1     Running   0              2m14s   10.76.1.7       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
k8s-dencer        k8s-dencer-ui-backend-6fdb57844f-htdvq                  1/1     Running   0              2m14s   10.76.1.6       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
k8s-dencer        k8s-dencer-ui-frontend-645d84d4d8-n9zj2                 1/1     Running   0              2m14s   10.76.5.5       gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
k8s-dencer        k8s-dencer-ui-frontend-645d84d4d8-w7gn7                 1/1     Running   1 (2m3s ago)   2m14s   10.76.1.5       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       event-exporter-gke-7c667c5978-z7t29                     2/2     Running   0              3m42s   10.76.3.4       gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       fluentbit-gke-gv2zf                                     3/3     Running   0              2m50s   10.128.15.199   gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       fluentbit-gke-h2s7t                                     3/3     Running   0              2m47s   10.128.15.200   gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
kube-system       fluentbit-gke-mrh4l                                     3/3     Running   0              2m47s   10.128.15.196   gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
kube-system       fluentbit-gke-r2kmp                                     3/3     Running   0              2m49s   10.128.15.198   gke-dencer-play-default-pool-846d4868-sbb6   <none>           <none>
kube-system       fluentbit-gke-vvf2z                                     3/3     Running   0              2m51s   10.128.15.201   gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
kube-system       fluentbit-gke-xsv2x                                     3/3     Running   0              2m47s   10.128.15.197   gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       gke-metrics-agent-4xssv                                 3/3     Running   0              2m51s   10.128.15.201   gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
kube-system       gke-metrics-agent-dgzsg                                 3/3     Running   0              2m49s   10.128.15.198   gke-dencer-play-default-pool-846d4868-sbb6   <none>           <none>
kube-system       gke-metrics-agent-g75wp                                 3/3     Running   0              2m47s   10.128.15.196   gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
kube-system       gke-metrics-agent-kzwbc                                 3/3     Running   0              2m50s   10.128.15.199   gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       gke-metrics-agent-phgj4                                 3/3     Running   0              2m46s   10.128.15.200   gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
kube-system       gke-metrics-agent-w6bm6                                 3/3     Running   0              2m46s   10.128.15.197   gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       konnectivity-agent-7f74769845-6bqpc                     2/2     Running   0              3m22s   10.76.3.9       gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       konnectivity-agent-7f74769845-7m6sq                     2/2     Running   0              2m42s   10.76.0.2       gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
kube-system       konnectivity-agent-7f74769845-82h75                     2/2     Running   0              2m32s   10.76.5.4       gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
kube-system       konnectivity-agent-7f74769845-fhxrj                     2/2     Running   0              2m32s   10.76.2.3       gke-dencer-play-default-pool-846d4868-sbb6   <none>           <none>
kube-system       konnectivity-agent-7f74769845-jnwt2                     2/2     Running   0              2m42s   10.76.4.2       gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
kube-system       konnectivity-agent-7f74769845-kwm7c                     2/2     Running   0              2m42s   10.76.1.3       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          1/1     Running   0              3m19s   10.76.3.5       gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       kube-dns-7ddbc8bb55-mh9vz                               4/4     Running   0              4m3s    10.76.3.3       gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       kube-dns-7ddbc8bb55-psc92                               4/4     Running   0              2m39s   10.76.5.2       gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
kube-system       kube-dns-autoscaler-7dc78dc96-628l8                     1/1     Running   0              3m17s   10.76.3.7       gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       kube-proxy-gke-dencer-play-default-pool-846d4868-hvpx   1/1     Running   0              2m48s   10.128.15.200   gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
kube-system       kube-proxy-gke-dencer-play-default-pool-846d4868-kzdf   1/1     Running   0              2m48s   10.128.15.197   gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       kube-proxy-gke-dencer-play-default-pool-846d4868-r3pj   1/1     Running   0              2m41s   10.128.15.201   gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
kube-system       kube-proxy-gke-dencer-play-default-pool-846d4868-sbb6   1/1     Running   0              2m37s   10.128.15.198   gke-dencer-play-default-pool-846d4868-sbb6   <none>           <none>
kube-system       kube-proxy-gke-dencer-play-default-pool-846d4868-t20r   1/1     Running   0              2m50s   10.128.15.199   gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       kube-proxy-gke-dencer-play-default-pool-846d4868-tst6   1/1     Running   0              2m48s   10.128.15.196   gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
kube-system       l7-default-backend-7d8d77ff56-m94pq                     1/1     Running   0              3m14s   10.76.1.2       gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       metrics-server-v1.35.1-6869f77d64-47qmj                 1/1     Running   0              84s     10.76.0.7       gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
kube-system       node-local-dns-8sv7q                                    2/2     Running   0              2m47s   10.128.15.198   gke-dencer-play-default-pool-846d4868-sbb6   <none>           <none>
kube-system       node-local-dns-9mnnz                                    2/2     Running   0              2m46s   10.128.15.197   gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       node-local-dns-cv5l9                                    2/2     Running   0              2m46s   10.128.15.196   gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
kube-system       node-local-dns-mwwng                                    2/2     Running   0              2m48s   10.128.15.199   gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       node-local-dns-n9rgj                                    2/2     Running   0              2m46s   10.128.15.200   gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
kube-system       node-local-dns-x4m84                                    2/2     Running   0              2m49s   10.128.15.201   gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
kube-system       pdcsi-node-7j7mq                                        3/3     Running   0              2m43s   10.128.15.199   gke-dencer-play-default-pool-846d4868-t20r   <none>           <none>
kube-system       pdcsi-node-f99j2                                        3/3     Running   0              2m43s   10.128.15.198   gke-dencer-play-default-pool-846d4868-sbb6   <none>           <none>
kube-system       pdcsi-node-f9pt9                                        3/3     Running   0              2m43s   10.128.15.201   gke-dencer-play-default-pool-846d4868-r3pj   <none>           <none>
kube-system       pdcsi-node-gpwj6                                        3/3     Running   0              2m43s   10.128.15.197   gke-dencer-play-default-pool-846d4868-kzdf   <none>           <none>
kube-system       pdcsi-node-mbggj                                        3/3     Running   0              2m44s   10.128.15.200   gke-dencer-play-default-pool-846d4868-hvpx   <none>           <none>
kube-system       pdcsi-node-mxttg                                        3/3     Running   0              2m43s   10.128.15.196   gke-dencer-play-default-pool-846d4868-tst6   <none>           <none>
